"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"08.02.2013","Fri","0.15300","0.17320","0.20020","0.24750","0.29200","0.46540","0.76600"
"07.02.2013","Thu","0.15300","0.17270","0.19920","0.24600","0.29200","0.46690","0.76750"
"06.02.2013","Wed","0.15400","0.17220","0.19920","0.24600","0.29300","0.46790","0.76950"
"05.02.2013","Tue","0.15600","0.17270","0.19920","0.24550","0.29550","0.46890","0.77050"
"04.02.2013","Mon","0.15500","0.17270","0.19820","0.24550","0.29550","0.46690","0.77300"
"01.02.2013","Fri","0.15500","0.17270","0.19920","0.24650","0.29550","0.46790","0.77700"
"31.01.2013","Thu","0.15400","0.17170","0.19970","0.24550","0.29800","0.46840","0.78100"
"30.01.2013","Wed","0.15500","0.17370","0.20170","0.24550","0.29850","0.47315","0.79050"
"29.01.2013","Tue","0.15700","0.17570","0.20170","0.24650","0.30050","0.47575","0.79550"
"28.01.2013","Mon","0.16000","0.17770","0.20270","0.24750","0.30150","0.47575","0.79750"
"25.01.2013","Fri","0.15900","0.17670","0.20370","0.24850","0.30050","0.47650","0.79650"
"24.01.2013","Thu","0.15650","0.17420","0.20370","0.24850","0.30050","0.47650","0.79850"
"23.01.2013","Wed","0.15950","0.17570","0.20370","0.24950","0.30100","0.48050","0.80750"
"22.01.2013","Tue","0.16050","0.17670","0.20470","0.24950","0.30200","0.48350","0.80900"
"21.01.2013","Mon","0.15800","0.17770","0.20470","0.24950","0.30200","0.48350","0.80900"
"18.01.2013","Fri","0.15800","0.17670","0.20470","0.24950","0.30200","0.48450","0.80900"
"17.01.2013","Thu","0.15850","0.17670","0.20470","0.25000","0.30200","0.48650","0.81000"
"16.01.2013","Wed","0.16350","0.18070","0.20570","0.25000","0.30300","0.48750","0.80950"
"15.01.2013","Tue","0.15950","0.18070","0.20570","0.25000","0.30300","0.49000","0.81400"
"14.01.2013","Mon","0.15950","0.17970","0.20570","0.25000","0.30400","0.49100","0.81900"
"11.01.2013","Fri","0.15950","0.17970","0.20570","0.25100","0.30400","0.49600","0.82100"
"10.01.2013","Thu","0.16050","0.18170","0.20570","0.25100","0.30500","0.49800","0.82300"
"09.01.2013","Wed","0.16400","0.18320","0.20670","0.25200","0.30500","0.50000","0.83400"
"08.01.2013","Tue","0.16400","0.18320","0.20770","0.25200","0.30500","0.50025","0.83450"
"07.01.2013","Mon","0.16450","0.18470","0.20770","0.25250","0.30500","0.50025","0.83450"
"04.01.2013","Fri","0.16650","0.18470","0.20770","0.25250","0.30500","0.50125","0.83850"
"03.01.2013","Thu","0.16650","0.18570","0.20770","0.25200","0.30500","0.50325","0.83950"
"02.01.2013","Wed","0.16550","0.19120","0.20770","0.25250","0.30500","0.50625","0.84250"
"31.12.2012","Mon","0.16800","0.19270","0.20870","0.25350","0.30600","0.50825","0.84350"
"28.12.2012","Fri","0.16650","0.19420","0.20970","0.25350","0.30800","0.50825","0.84350"
"27.12.2012","Thu","0.16700","0.19970","0.21170","0.25500","0.31100","0.51025","0.84350"
"24.12.2012","Mon","0.16550","0.19220","0.20970","0.25400","0.31000","0.51025","0.84300"
"21.12.2012","Fri","0.16350","0.19020","0.20970","0.25400","0.31000","0.51025","0.84300"
"20.12.2012","Thu","0.16350","0.18820","0.21070","0.25400","0.31000","0.51025","0.84300"
"19.12.2012","Wed","0.16350","0.18620","0.21070","0.25350","0.31000","0.50975","0.84300"
"18.12.2012","Tue","0.16350","0.18520","0.21070","0.25300","0.30900","0.50850","0.84250"
"17.12.2012","Mon","0.16400","0.18520","0.21000","0.25500","0.30900","0.50850","0.84250"
"14.12.2012","Fri","0.16250","0.18320","0.20900","0.25500","0.30800","0.51100","0.84400"
"13.12.2012","Thu","0.16150","0.18320","0.20900","0.25500","0.30800","0.51300","0.84600"
"12.12.2012","Wed","0.16150","0.18320","0.20900","0.25500","0.30950","0.51450","0.84950"
"11.12.2012","Tue","0.16150","0.18420","0.21100","0.25600","0.30950","0.51700","0.85200"
"10.12.2012","Mon","0.16250","0.18720","0.21200","0.25600","0.31050","0.51800","0.85300"
"07.12.2012","Fri","0.16250","0.18620","0.21200","0.25600","0.30950","0.51900","0.85300"
"06.12.2012","Thu","0.16250","0.18620","0.21300","0.25800","0.31050","0.52400","0.85500"
"05.12.2012","Wed","0.16000","0.18520","0.21300","0.25800","0.31050","0.52500","0.85900"
"04.12.2012","Tue","0.16000","0.18520","0.21300","0.25800","0.31050","0.52500","0.85900"
"03.12.2012","Mon","0.16050","0.18520","0.21500","0.25800","0.31050","0.52600","0.86000"
"30.11.2012","Fri","0.16050","0.18520","0.21450","0.25700","0.31050","0.52600","0.86000"
"29.11.2012","Thu","0.16000","0.18720","0.21350","0.25700","0.31050","0.52700","0.86100"
"28.11.2012","Wed","0.16000","0.18620","0.20900","0.25700","0.31050","0.52800","0.86000"
"27.11.2012","Tue","0.15900","0.18620","0.20900","0.25700","0.31150","0.52800","0.86000"
"26.11.2012","Mon","0.15600","0.18320","0.20900","0.25700","0.31150","0.52700","0.86000"
"23.11.2012","Fri","0.15500","0.18120","0.20850","0.25700","0.31150","0.52700","0.85900"
