"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"13.06.2019","Thu","2.35050","2.36463","2.39425","2.40238","2.41025","2.31838","2.30563"
"12.06.2019","Wed","2.35038","2.37450","2.40113","2.42038","2.42788","2.34163","2.33300"
"11.06.2019","Tue","2.35088","2.37550","2.41063","2.42838","2.44950","2.35200","2.34325"
"10.06.2019","Mon","2.34500","2.37850","2.41338","2.42075","2.43575","2.34875","2.33763"
"07.06.2019","Fri","2.35175","2.37638","2.41213","2.43013","2.45063","2.37175","2.34613"
"06.06.2019","Thu","2.34600","2.37850","2.41163","2.43838","2.45300","2.37788","2.34763"
"05.06.2019","Wed","2.34538","2.37850","2.41850","2.45638","2.47163","2.40838","2.38250"
"04.06.2019","Tue","2.36000","2.37775","2.42088","2.45750","2.47438","2.42425","2.40525"
"03.06.2019","Mon","2.36075","2.38238","2.42988","2.45525","2.47850","2.45550","2.41338"
"31.05.2019","Fri","2.35450","2.38925","2.43050","2.47400","2.50250","2.51663","2.51025"
"30.05.2019","Thu","2.35775","2.39800","2.44000","2.48013","2.52025","2.54375","2.57813"
"29.05.2019","Wed","2.35600","2.38738","2.43850","2.48113","2.52175","2.52438","2.57075"
"28.05.2019","Tue","2.35388","2.39088","2.42938","2.48263","2.52375","2.54125","2.59988"
"24.05.2019","Fri","2.35650","2.39650","2.42813","2.48663","2.52488","2.54863","2.61900"
"23.05.2019","Thu","2.35625","2.39625","2.42975","2.49600","2.52063","2.56013","2.64475"
"22.05.2019","Wed","2.35450","2.39425","2.43700","2.49725","2.52475","2.57063","2.66563"
"21.05.2019","Tue","2.35538","2.39513","2.42963","2.49325","2.52350","2.56325","2.65363"
"20.05.2019","Mon","2.35938","2.39413","2.43600","2.48825","2.52338","2.55975","2.64688"
"17.05.2019","Fri","2.35575","2.39600","2.44188","2.48788","2.52188","2.55375","2.63538"
"16.05.2019","Thu","2.35938","2.38463","2.44063","2.48913","2.51963","2.55150","2.61425"
"15.05.2019","Wed","2.34913","2.38113","2.43238","2.49575","2.52513","2.55088","2.63250"
"14.05.2019","Tue","2.34338","2.38813","2.43763","2.49863","2.52450","2.55088","2.63925"
"13.05.2019","Mon","2.34513","2.38688","2.43963","2.49525","2.51800","2.58763","2.67225"
"10.05.2019","Fri","2.35638","2.38850","2.44900","2.48963","2.52788","2.58700","2.69338"
"09.05.2019","Thu","2.35888","2.39063","2.45338","2.49638","2.53525","2.58163","2.70213"
