"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"26.06.2015","Fri","0.12400","0.14600","0.18660","0.23450","0.28175","0.44640","0.77650"
"25.06.2015","Thu","0.12450","0.14600","0.18600","0.23400","0.28200","0.44705","0.77425"
"24.06.2015","Wed","0.12350","0.14600","0.18650","0.23425","0.28075","0.44680","0.77575"
"23.06.2015","Tue","0.12400","0.14800","0.18700","0.23300","0.28075","0.44380","0.76875"
"22.06.2015","Mon","0.12450","0.14800","0.18700","0.23525","0.28225","0.44405","0.76600"
"19.06.2015","Fri","0.12450","0.14700","0.18700","0.23380","0.28130","0.44365","0.76660"
"18.06.2015","Thu","0.12350","0.14720","0.18675","0.23430","0.28080","0.44340","0.76635"
"17.06.2015","Wed","0.12300","0.14400","0.18750","0.23650","0.28570","0.45205","0.79135"
"16.06.2015","Tue","0.12350","0.14750","0.18500","0.23425","0.28625","0.45185","0.78960"
"15.06.2015","Mon","0.12350","0.14770","0.18525","0.23475","0.28325","0.44985","0.79185"
"12.06.2015","Fri","0.12300","0.14750","0.18475","0.23425","0.28605","0.44840","0.79080"
"11.06.2015","Thu","0.12300","0.14750","0.18550","0.23750","0.28585","0.44480","0.78795"
"10.06.2015","Wed","0.12300","0.14400","0.18875","0.23650","0.28785","0.44155","0.78195"
"09.06.2015","Tue","0.12300","0.14700","0.18750","0.23500","0.28550","0.43795","0.76820"
"08.06.2015","Mon","0.12300","0.14750","0.18540","0.23500","0.28220","0.43340","0.77220"
"05.06.2015","Fri","0.12300","0.14750","0.18300","0.23145","0.28120","0.42390","0.74920"
"04.06.2015","Thu","0.12300","0.14725","0.18405","0.23370","0.27890","0.42185","0.74795"
"03.06.2015","Wed","0.12300","0.14450","0.18500","0.23600","0.27920","0.42040","0.74545"
"02.06.2015","Tue","0.12350","0.14730","0.18480","0.23520","0.27870","0.42190","0.74995"
"01.06.2015","Mon","0.12300","0.14700","0.18300","0.23705","0.28250","0.42365","0.74770"
"29.05.2015","Fri","0.12100","0.15025","0.18400","0.23675","0.28375","0.42465","0.74970"
"28.05.2015","Thu","0.12300","0.15000","0.18400","0.23425","0.28275","0.42315","0.75295"
"27.05.2015","Wed","0.12300","0.14575","0.18535","0.23065","0.28350","0.42305","0.75260"
"26.05.2015","Tue","0.12300","0.14800","0.18630","0.23460","0.28585","0.42500","0.75685"
"22.05.2015","Fri","0.12400","0.14775","0.18485","0.23200","0.28450","0.41865","0.73760"
"21.05.2015","Thu","0.12400","0.14850","0.18475","0.23100","0.28200","0.41815","0.73910"
"20.05.2015","Wed","0.12400","0.14650","0.18475","0.23245","0.28350","0.41700","0.73935"
"19.05.2015","Tue","0.12400","0.14850","0.18675","0.23245","0.28100","0.41550","0.72760"
"18.05.2015","Mon","0.12400","0.14850","0.18400","0.22575","0.27600","0.41425","0.72510"
"15.05.2015","Fri","0.12400","0.14900","0.18620","0.22475","0.27650","0.41275","0.72335"
"14.05.2015","Thu","0.12300","0.14675","0.18335","0.22375","0.27600","0.41275","0.72285"
"13.05.2015","Wed","0.12300","0.14575","0.18560","0.22465","0.27390","0.41415","0.73035"
"12.05.2015","Tue","0.12300","0.14875","0.18560","0.22525","0.27500","0.41455","0.73460"
"11.05.2015","Mon","0.12300","0.14825","0.18560","0.22785","0.27660","0.41265","0.72410"
"08.05.2015","Fri","0.12300","0.14850","0.18475","0.22800","0.27985","0.41425","0.73260"
"07.05.2015","Thu","0.12300","0.14850","0.18150","0.22800","0.27885","0.41475","0.73610"
"06.05.2015","Wed","0.12300","0.14530","0.18025","0.22790","0.27600","0.41640","0.73410"
"05.05.2015","Tue","0.12300","0.14900","0.18050","0.22960","0.27590","0.41275","0.72135"
"01.05.2015","Fri","0.12200","0.14750","0.18225","0.23275","0.27975","0.41090","0.71760"
"30.04.2015","Thu","0.12000","0.14975","0.18100","0.23225","0.27875","0.40790","0.70525"
"29.04.2015","Wed","0.12300","0.14760","0.18025","0.23275","0.27815","0.40765","0.69900"
"28.04.2015","Tue","0.12300","0.14950","0.18425","0.23275","0.27815","0.40615","0.69600"
"27.04.2015","Mon","0.12250","0.14525","0.18125","0.23175","0.27900","0.40765","0.70115"
"24.04.2015","Fri","0.12250","0.14400","0.18150","0.23225","0.27900","0.40890","0.70590"
"23.04.2015","Thu","0.12250","0.14600","0.18125","0.23125","0.27700","0.40865","0.70640"
"22.04.2015","Wed","0.12200","0.14645","0.18175","0.23025","0.27750","0.40490","0.69915"
"21.04.2015","Tue","0.12250","0.14925","0.18150","0.22945","0.27725","0.40565","0.70090"
"20.04.2015","Mon","0.12200","0.14775","0.18050","0.22745","0.27600","0.40540","0.69515"
"17.04.2015","Fri","0.12200","0.14750","0.18025","0.22850","0.27575","0.40290","0.68465"
"16.04.2015","Thu","0.12200","0.14700","0.18055","0.22600","0.27510","0.40265","0.69140"
"15.04.2015","Wed","0.12200","0.14375","0.18040","0.22625","0.27435","0.40140","0.69265"
"14.04.2015","Tue","0.12200","0.14675","0.18250","0.22675","0.27555","0.40490","0.70010"
"13.04.2015","Mon","0.12200","0.14700","0.18150","0.22725","0.27530","0.40515","0.70335"
"10.04.2015","Fri","0.12200","0.14625","0.17850","0.22850","0.27700","0.40440","0.69835"
"09.04.2015","Thu","0.12100","0.14575","0.18000","0.22850","0.27590","0.40340","0.69435"
"08.04.2015","Wed","0.12100","0.14130","0.18095","0.22650","0.27120","0.39950","0.68910"
"07.04.2015","Tue","0.12200","0.14200","0.18015","0.22370","0.27375","0.39840","0.68560"
"02.04.2015","Thu","0.12150","0.14380","0.17975","0.22050","0.27375","0.40115","0.69235"
"01.04.2015","Wed","0.12250","0.14440","0.17755","0.22360","0.27075","0.40340","0.69810"
"31.03.2015","Tue","0.11400","0.14070","0.17625","0.22180","0.27075","0.40065","0.69420"
"30.03.2015","Mon","0.12000","0.14425","0.17925","0.22360","0.27415","0.40265","0.69890"
"27.03.2015","Fri","0.12100","0.14250","0.17800","0.22310","0.27540","0.40490","0.70215"
"26.03.2015","Thu","0.12100","0.14150","0.17775","0.22150","0.27305","0.40190","0.69990"
"25.03.2015","Wed","0.12150","0.13975","0.17560","0.22150","0.26855","0.39790","0.69715"
"24.03.2015","Tue","0.12200","0.14025","0.17275","0.22050","0.26935","0.39865","0.69240"
"23.03.2015","Mon","0.12250","0.14200","0.17375","0.22130","0.26680","0.39485","0.69110"
"20.03.2015","Fri","0.12200","0.14200","0.17400","0.22130","0.26680","0.39735","0.69735"
"19.03.2015","Thu","0.12200","0.14350","0.17325","0.21880","0.26455","0.39385","0.68685"
"18.03.2015","Wed","0.12200","0.14150","0.17600","0.22030","0.27030","0.40910","0.71535"
"17.03.2015","Tue","0.12250","0.14100","0.17750","0.22300","0.26935","0.40610","0.71335"
"16.03.2015","Mon","0.12300","0.14000","0.17700","0.22150","0.27015","0.40190","0.71335"
"13.03.2015","Fri","0.12300","0.14000","0.17650","0.22120","0.27065","0.40290","0.71335"
"12.03.2015","Thu","0.12250","0.13900","0.17450","0.22020","0.27060","0.40310","0.71360"
"11.03.2015","Wed","0.12200","0.13850","0.17600","0.21950","0.26990","0.40140","0.71510"
"10.03.2015","Tue","0.12200","0.13850","0.17790","0.21850","0.26770","0.40420","0.71085"
"09.03.2015","Mon","0.12150","0.13870","0.17650","0.21700","0.26660","0.40410","0.71110"
"06.03.2015","Fri","0.12150","0.13890","0.17500","0.21650","0.26460","0.39760","0.68810"
"05.03.2015","Thu","0.12150","0.13900","0.17500","0.21500","0.26360","0.39710","0.68885"
"04.03.2015","Wed","0.12150","0.13850","0.17500","0.21470","0.26360","0.39560","0.68860"
"03.03.2015","Tue","0.12150","0.13850","0.17300","0.21550","0.26515","0.38790","0.68710"
"02.03.2015","Mon","0.11920","0.13650","0.17270","0.21450","0.26095","0.38420","0.68185"
"27.02.2015","Fri","0.11600","0.13500","0.17300","0.21450","0.26185","0.38070","0.67960"
"26.02.2015","Thu","0.11800","0.13900","0.17190","0.21450","0.26160","0.37835","0.66935"
"25.02.2015","Wed","0.11800","0.13800","0.17200","0.21400","0.26090","0.38290","0.66860"
"24.02.2015","Tue","0.11900","0.13875","0.17150","0.21400","0.26110","0.38515","0.67735"
"23.02.2015","Mon","0.11900","0.14060","0.17100","0.21300","0.26160","0.38470","0.67840"
"20.02.2015","Fri","0.12050","0.13950","0.17150","0.21080","0.26260","0.38570","0.67440"
"19.02.2015","Thu","0.11850","0.14140","0.17350","0.21470","0.26150","0.38410","0.67090"
"18.02.2015","Wed","0.11800","0.14000","0.17350","0.21450","0.26060","0.38530","0.68410"
"17.02.2015","Tue","0.11750","0.13790","0.17350","0.21400","0.25670","0.38190","0.67460"
"16.02.2015","Mon","0.11750","0.13750","0.17300","0.21350","0.25620","0.38090","0.67260"
"13.02.2015","Fri","0.11750","0.13800","0.17300","0.21200","0.25710","0.38240","0.67360"
"12.02.2015","Thu","0.11950","0.13800","0.17200","0.21150","0.25810","0.37690","0.67160"
"11.02.2015","Wed","0.11800","0.13750","0.17170","0.21120","0.25810","0.37830","0.66460"
"10.02.2015","Tue","0.11600","0.13620","0.17170","0.21120","0.25810","0.37680","0.66360"
"09.02.2015","Mon","0.11700","0.13400","0.17220","0.21120","0.25835","0.37340","0.65600"
"06.02.2015","Fri","0.11750","0.13650","0.17150","0.21150","0.25560","0.36240","0.63150"
"05.02.2015","Thu","0.11800","0.13600","0.17100","0.21025","0.25610","0.36240","0.62900"
"04.02.2015","Wed","0.11800","0.13700","0.17350","0.21050","0.25510","0.36080","0.62540"
"03.02.2015","Tue","0.11750","0.13600","0.17100","0.20850","0.25510","0.35880","0.61815"
