"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"02.02.2015","Mon","0.11600","0.13600","0.16950","0.20850","0.25210","0.35740","0.61940"
"30.01.2015","Fri","0.11500","0.13510","0.17125","0.21040","0.25310","0.35740","0.62090"
"29.01.2015","Thu","0.11940","0.13680","0.17090","0.21060","0.25460","0.35790","0.62040"
"28.01.2015","Wed","0.11770","0.13670","0.17050","0.21150","0.25460","0.35740","0.61790"
"27.01.2015","Tue","0.11960","0.13710","0.16800","0.21100","0.25260","0.35540","0.62240"
"26.01.2015","Mon","0.11990","0.13690","0.16900","0.21300","0.25610","0.35540","0.62140"
"23.01.2015","Fri","0.11990","0.13440","0.16775","0.21100","0.25610","0.35390","0.62190"
"22.01.2015","Thu","0.12140","0.13470","0.16825","0.21325","0.25610","0.35740","0.62290"
"21.01.2015","Wed","0.12140","0.13610","0.16675","0.21575","0.25710","0.35890","0.62190"
"20.01.2015","Tue","0.12080","0.13550","0.16850","0.21380","0.25670","0.35590","0.61590"
"19.01.2015","Mon","0.12010","0.13550","0.16875","0.21405","0.25620","0.35590","0.61190"
"16.01.2015","Fri","0.12010","0.13500","0.16800","0.21370","0.25660","0.35490","0.60990"
"15.01.2015","Thu","0.12010","0.13510","0.16800","0.21420","0.25260","0.35640","0.61490"
"14.01.2015","Wed","0.11960","0.13450","0.16825","0.21600","0.25360","0.35890","0.62240"
"13.01.2015","Tue","0.11670","0.13300","0.16650","0.21350","0.25330","0.35760","0.62240"
"12.01.2015","Mon","0.11650","0.13190","0.16650","0.21400","0.25280","0.35910","0.62090"
"09.01.2015","Fri","0.11910","0.13490","0.16675","0.21475","0.25410","0.36190","0.62640"
"08.01.2015","Thu","0.11910","0.13410","0.16625","0.21420","0.25210","0.36040","0.62890"
"07.01.2015","Wed","0.11890","0.13420","0.16650","0.21480","0.25210","0.36130","0.62730"
"06.01.2015","Tue","0.11870","0.13350","0.16775","0.21620","0.25110","0.36030","0.62830"
"05.01.2015","Mon","0.11640","0.13475","0.16800","0.21560","0.25360","0.36230","0.63380"
"02.01.2015","Fri","0.11260","0.13480","0.16750","0.21420","0.25560","0.36480","0.63280"
"31.12.2014","Wed","0.08520","0.13500","0.17125","0.21445","0.25560","0.36280","0.62880"
"30.12.2014","Tue","0.11460","0.13600","0.16950","0.21625","0.25520","0.35740","0.62880"
"29.12.2014","Mon","0.11610","0.13260","0.16925","0.21575","0.25510","0.35740","0.62880"
"24.12.2014","Wed","0.11510","0.13300","0.16875","0.21475","0.25660","0.35740","0.62880"
"23.12.2014","Tue","0.11410","0.13425","0.16950","0.21475","0.25460","0.35740","0.62780"
"22.12.2014","Mon","0.11420","0.13400","0.16700","0.21025","0.25510","0.35440","0.62230"
"19.12.2014","Fri","0.11400","0.13200","0.16425","0.21000","0.25210","0.35000","0.61680"
"18.12.2014","Thu","0.11170","0.13080","0.16545","0.20950","0.24710","0.34360","0.60530"
"17.12.2014","Wed","0.11080","0.13050","0.16410","0.20900","0.24535","0.34360","0.60530"
"16.12.2014","Tue","0.11000","0.13100","0.16200","0.20790","0.24260","0.33990","0.59930"
"15.12.2014","Mon","0.11050","0.13190","0.16200","0.20900","0.24260","0.34140","0.59780"
"12.12.2014","Fri","0.11040","0.13350","0.16100","0.20900","0.24285","0.34090","0.60130"
"11.12.2014","Thu","0.11250","0.13450","0.16080","0.20800","0.24060","0.33840","0.60030"
"10.12.2014","Wed","0.11200","0.13500","0.16080","0.20750","0.23990","0.33770","0.60260"
"09.12.2014","Tue","0.11000","0.13600","0.15850","0.20120","0.23885","0.33790","0.59810"
"08.12.2014","Mon","0.11100","0.13660","0.16170","0.20300","0.23760","0.33990","0.60310"
"05.12.2014","Fri","0.11100","0.13400","0.15800","0.19970","0.23560","0.33040","0.57660"
"04.12.2014","Thu","0.11100","0.13410","0.15720","0.20200","0.23535","0.32990","0.57500"
"03.12.2014","Wed","0.10950","0.13300","0.15700","0.19730","0.23485","0.32620","0.57030"
"02.12.2014","Tue","0.10670","0.13075","0.15825","0.19900","0.23460","0.32790","0.56480"
"01.12.2014","Mon","0.10170","0.12620","0.15775","0.19800","0.23460","0.32895","0.56260"
"28.11.2014","Fri","0.09770","0.12410","0.15400","0.20100","0.23360","0.32620","0.56460"
"27.11.2014","Thu","0.10200","0.12460","0.15500","0.20100","0.23360","0.32645","0.56460"
"26.11.2014","Wed","0.10200","0.12480","0.15575","0.20400","0.23560","0.33190","0.56460"
"25.11.2014","Tue","0.10250","0.12525","0.15625","0.20550","0.23560","0.32870","0.56460"
"24.11.2014","Mon","0.10150","0.12390","0.15350","0.20450","0.23435","0.32740","0.56430"
"21.11.2014","Fri","0.10150","0.12575","0.15525","0.20450","0.23285","0.32690","0.56430"
"20.11.2014","Thu","0.09940","0.12400","0.15500","0.20550","0.23290","0.32870","0.56180"
"19.11.2014","Wed","0.09850","0.12175","0.15500","0.20390","0.23110","0.32465","0.56280"
"18.11.2014","Tue","0.09640","0.12180","0.15500","0.20400","0.23185","0.32565","0.56105"
"17.11.2014","Mon","0.09450","0.12000","0.15400","0.20350","0.23185","0.32565","0.56105"
"14.11.2014","Fri","0.09400","0.12025","0.15300","0.20300","0.23210","0.32640","0.56330"
"13.11.2014","Thu","0.09390","0.12150","0.15470","0.20300","0.23210","0.32615","0.56630"
"12.11.2014","Wed","0.09450","0.12200","0.15280","0.20350","0.23320","0.32600","0.56380"
"11.11.2014","Tue","0.09400","0.12175","0.15330","0.20200","0.23320","0.32600","0.56430"
"10.11.2014","Mon","0.09400","0.11985","0.15430","0.20200","0.23310","0.32590","0.55630"
"07.11.2014","Fri","0.09400","0.12200","0.15730","0.20200","0.23260","0.32665","0.56630"
"06.11.2014","Thu","0.09350","0.12225","0.15550","0.19900","0.23160","0.32665","0.55780"
"05.11.2014","Wed","0.09250","0.12070","0.15550","0.19900","0.23185","0.32590","0.55780"
"04.11.2014","Tue","0.09250","0.11850","0.15550","0.19920","0.23185","0.32615","0.55580"
"03.11.2014","Mon","0.09250","0.11975","0.15550","0.19910","0.23235","0.32790","0.55580"
"31.10.2014","Fri","0.08800","0.12075","0.15590","0.19940","0.23210","0.32790","0.55380"
