"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"04.07.2013","Thu","0.12430","0.15953","0.19478","0.23734","0.27090","0.41440","0.69165"
"03.07.2013","Wed","0.12430","0.15923","0.19478","0.23764","0.27390","0.41451","0.69065"
"02.07.2013","Tue","0.12630","0.15923","0.19528","0.23664","0.27290","0.41290","0.68815"
"01.07.2013","Mon","0.12450","0.16073","0.19580","0.23696","0.27310","0.41440","0.69015"
"28.06.2013","Fri","0.12500","0.16073","0.19465","0.23556","0.27310","0.41340","0.68565"
"27.06.2013","Thu","0.12890","0.16051","0.19505","0.23616","0.27400","0.41680","0.69065"
"26.06.2013","Wed","0.13190","0.16371","0.19535","0.23636","0.27560","0.42191","0.69765"
"25.06.2013","Tue","0.13210","0.16071","0.19435","0.23536","0.27610","0.42341","0.70115"
"24.06.2013","Mon","0.13160","0.16251","0.19535","0.23536","0.27675","0.42541","0.70315"
"21.06.2013","Fri","0.13030","0.16001","0.19300","0.23280","0.27275","0.41380","0.68295"
"20.06.2013","Thu","0.12690","0.15901","0.19300","0.23210","0.27255","0.41326","0.68045"
"19.06.2013","Wed","0.12710","0.15981","0.19160","0.22896","0.27175","0.40926","0.66810"
"18.06.2013","Tue","0.12830","0.15981","0.19160","0.23046","0.27225","0.40926","0.66810"
"17.06.2013","Mon","0.13080","0.15901","0.19160","0.23046","0.27325","0.41126","0.66810"
"14.06.2013","Fri","0.12900","0.15901","0.19250","0.23026","0.27275","0.41126","0.66910"
"13.06.2013","Thu","0.13050","0.15901","0.19250","0.23076","0.27325","0.41476","0.67870"
"12.06.2013","Wed","0.13140","0.15951","0.19250","0.22976","0.27325","0.41376","0.68320"
"11.06.2013","Tue","0.13140","0.15851","0.19250","0.22876","0.27225","0.41126","0.68470"
"10.06.2013","Mon","0.13290","0.15851","0.19250","0.23066","0.27415","0.41126","0.68320"
"07.06.2013","Fri","0.13260","0.15851","0.19238","0.23026","0.27515","0.40976","0.68520"
"06.06.2013","Thu","0.13300","0.15851","0.19288","0.22986","0.27425","0.41026","0.68520"
"05.06.2013","Wed","0.13300","0.15851","0.19328","0.23016","0.27445","0.41276","0.68620"
"04.06.2013","Tue","0.13430","0.15851","0.19328","0.22966","0.27395","0.41176","0.68720"
"03.06.2013","Mon","0.13380","0.15851","0.19398","0.22920","0.27325","0.41526","0.69020"
"31.05.2013","Fri","0.13220","0.15901","0.19428","0.22836","0.27525","0.41426","0.68920"
"30.05.2013","Thu","0.13410","0.15951","0.19378","0.23050","0.27465","0.41626","0.68800"
"29.05.2013","Wed","0.13490","0.15971","0.19378","0.23100","0.27575","0.41626","0.69070"
"28.05.2013","Tue","0.13370","0.15921","0.19278","0.22950","0.27275","0.41526","0.68400"
"24.05.2013","Fri","0.13500","0.15921","0.19328","0.23050","0.27275","0.41740","0.68589"
"23.05.2013","Thu","0.13890","0.16071","0.19328","0.23050","0.27275","0.41740","0.68589"
"22.05.2013","Wed","0.14250","0.16271","0.19528","0.23100","0.27375","0.41840","0.68589"
"21.05.2013","Tue","0.14640","0.16371","0.19628","0.23200","0.27410","0.41840","0.68589"
"20.05.2013","Mon","0.14640","0.16391","0.19618","0.23350","0.27310","0.41840","0.68739"
"17.05.2013","Fri","0.14650","0.16371","0.19678","0.23350","0.27360","0.41940","0.68839"
"16.05.2013","Thu","0.14700","0.16520","0.19820","0.23450","0.27410","0.41990","0.68989"
"15.05.2013","Wed","0.14500","0.16520","0.19820","0.23500","0.27410","0.42090","0.68989"
"14.05.2013","Tue","0.14600","0.16520","0.19820","0.23500","0.27410","0.42340","0.69510"
"13.05.2013","Mon","0.14650","0.16520","0.19920","0.23600","0.27510","0.42640","0.70110"
"10.05.2013","Fri","0.14600","0.16470","0.19920","0.23740","0.27510","0.42640","0.70110"
"09.05.2013","Thu","0.14750","0.16720","0.19920","0.23740","0.27510","0.42740","0.70210"
"08.05.2013","Wed","0.14850","0.16770","0.19920","0.23740","0.27510","0.42840","0.70310"
"07.05.2013","Tue","0.14850","0.16720","0.19920","0.23740","0.27510","0.42840","0.70310"
"03.05.2013","Fri","0.15000","0.16720","0.19820","0.23740","0.27510","0.42540","0.70210"
"02.05.2013","Thu","0.15000","0.16770","0.19820","0.23740","0.27310","0.42540","0.70310"
"01.05.2013","Wed","0.14800","0.16670","0.19820","0.23790","0.27310","0.42540","0.70400"
"30.04.2013","Tue","0.14700","0.16670","0.19820","0.23780","0.27310","0.42540","0.70450"
"29.04.2013","Mon","0.14800","0.16820","0.19820","0.23930","0.27410","0.42990","0.70850"
"26.04.2013","Fri","0.14900","0.16920","0.19820","0.23980","0.27560","0.43040","0.71050"
"25.04.2013","Thu","0.15000","0.16920","0.19820","0.23980","0.27560","0.43040","0.71100"
"24.04.2013","Wed","0.15200","0.16970","0.19820","0.23980","0.27560","0.43140","0.71200"
"23.04.2013","Tue","0.15400","0.17170","0.20020","0.23980","0.27560","0.43140","0.71100"
"22.04.2013","Mon","0.15500","0.17170","0.19920","0.23980","0.27510","0.43290","0.71550"
"19.04.2013","Fri","0.15600","0.17370","0.19920","0.23980","0.27610","0.43340","0.71500"
"18.04.2013","Thu","0.15700","0.17470","0.19920","0.23980","0.27610","0.43290","0.71500"
"17.04.2013","Wed","0.15700","0.17470","0.19920","0.23980","0.27610","0.43290","0.71500"
"16.04.2013","Tue","0.15700","0.17420","0.20020","0.24030","0.27710","0.43640","0.71750"
"15.04.2013","Mon","0.15700","0.17520","0.19970","0.24030","0.27760","0.43790","0.71900"
"12.04.2013","Fri","0.15700","0.17520","0.19970","0.24030","0.27760","0.43790","0.71900"
"11.04.2013","Thu","0.15500","0.17420","0.19870","0.24030","0.27710","0.43890","0.72000"
"10.04.2013","Wed","0.15500","0.17270","0.19930","0.24030","0.27710","0.43990","0.72100"
