"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"22.11.2013","Fri","0.10280","0.12875","0.16550","0.20615","0.23660","0.34590","0.57410"
"21.11.2013","Thu","0.10310","0.12875","0.16600","0.20715","0.23760","0.34690","0.57560"
"20.11.2013","Wed","0.10360","0.12900","0.16650","0.20825","0.23810","0.34990","0.58410"
"19.11.2013","Tue","0.10370","0.12900","0.16700","0.20940","0.23910","0.35190","0.58460"
"18.11.2013","Mon","0.10630","0.13025","0.16800","0.20840","0.23735","0.35140","0.58510"
"15.11.2013","Fri","0.10490","0.12925","0.16750","0.20700","0.23810","0.35140","0.58410"
"14.11.2013","Thu","0.10170","0.12750","0.16750","0.20700","0.23845","0.35350","0.58810"
"13.11.2013","Wed","0.10120","0.12750","0.16770","0.20725","0.24060","0.35540","0.59160"
"12.11.2013","Tue","0.10060","0.12650","0.16850","0.20755","0.23925","0.35485","0.59050"
"11.11.2013","Mon","0.10210","0.13130","0.16850","0.20730","0.23925","0.35460","0.59500"
"08.11.2013","Fri","0.10210","0.12715","0.16850","0.20775","0.23940","0.35450","0.59475"
"07.11.2013","Thu","0.10170","0.12715","0.16750","0.20795","0.23890","0.35425","0.59700"
"06.11.2013","Wed","0.10230","0.12725","0.16850","0.20895","0.23865","0.35375","0.59750"
"05.11.2013","Tue","0.10240","0.13280","0.16850","0.20885","0.23770","0.35160","0.59610"
"04.11.2013","Mon","0.10140","0.13255","0.16850","0.20975","0.23810","0.35275","0.59710"
"01.11.2013","Fri","0.09990","0.13040","0.16850","0.20990","0.23775","0.35350","0.60160"
"31.10.2013","Thu","0.10370","0.13025","0.16800","0.21160","0.24200","0.35490","0.60260"
"30.10.2013","Wed","0.10240","0.13235","0.16800","0.21140","0.24190","0.35490","0.60360"
"29.10.2013","Tue","0.10350","0.13480","0.16800","0.20925","0.23745","0.35540","0.60510"
"28.10.2013","Mon","0.10330","0.13580","0.16810","0.20835","0.23585","0.35380","0.60560"
"25.10.2013","Fri","0.10240","0.13350","0.16860","0.20900","0.23685","0.35390","0.60570"
"24.10.2013","Thu","0.10260","0.13300","0.17100","0.20960","0.23810","0.35620","0.60660"
"23.10.2013","Wed","0.10510","0.13890","0.17020","0.20975","0.23835","0.35570","0.60860"
"22.10.2013","Tue","0.10510","0.13785","0.17000","0.20975","0.23835","0.35840","0.61260"
"21.10.2013","Mon","0.10660","0.13740","0.17000","0.21000","0.23860","0.35840","0.61310"
"18.10.2013","Fri","0.10900","0.13575","0.17200","0.21075","0.24055","0.35990","0.61410"
"17.10.2013","Thu","0.10770","0.13580","0.17250","0.21250","0.24205","0.35940","0.62010"
"16.10.2013","Wed","0.10690","0.13925","0.17550","0.21625","0.24605","0.36440","0.62960"
"15.10.2013","Tue","0.10480","0.13940","0.17375","0.21375","0.24355","0.36340","0.62910"
"14.10.2013","Mon","0.10380","0.14190","0.17550","0.21575","0.24580","0.36440","0.63160"
"11.10.2013","Fri","0.10380","0.13950","0.17400","0.21525","0.24360","0.36340","0.62760"
"10.10.2013","Thu","0.10650","0.13880","0.17400","0.21450","0.24310","0.36615","0.62710"
"09.10.2013","Wed","0.10220","0.13930","0.17725","0.21725","0.24560","0.36865","0.63110"
"08.10.2013","Tue","0.10180","0.13765","0.17400","0.21550","0.24360","0.36615","0.62335"
"07.10.2013","Mon","0.10220","0.13710","0.17380","0.21400","0.24335","0.36575","0.62085"
"04.10.2013","Fri","0.10130","0.13525","0.17330","0.21300","0.24285","0.36500","0.61860"
"03.10.2013","Thu","0.10320","0.13555","0.17430","0.21325","0.24285","0.36550","0.62265"
"02.10.2013","Wed","0.10510","0.13660","0.17575","0.21450","0.24435","0.36675","0.62315"
"01.10.2013","Tue","0.10500","0.13800","0.17800","0.21600","0.24585","0.36750","0.62665"
"30.09.2013","Mon","0.10520","0.13920","0.17885","0.21650","0.24885","0.36850","0.62940"
"27.09.2013","Fri","0.10930","0.13940","0.17965","0.21650","0.24835","0.36650","0.62610"
"26.09.2013","Thu","0.11040","0.13950","0.17905","0.21800","0.24810","0.36750","0.63110"
"25.09.2013","Wed","0.11110","0.13950","0.17905","0.21800","0.24760","0.36850","0.63310"
"24.09.2013","Tue","0.11050","0.13950","0.17980","0.21900","0.25020","0.36950","0.63510"
"23.09.2013","Mon","0.11140","0.14000","0.17885","0.21875","0.25060","0.37250","0.63760"
"20.09.2013","Fri","0.11190","0.14015","0.17950","0.21825","0.24960","0.37340","0.63860"
"19.09.2013","Thu","0.11140","0.13950","0.17925","0.21800","0.25020","0.37440","0.63860"
"18.09.2013","Wed","0.11150","0.14000","0.18000","0.22050","0.25245","0.37890","0.65010"
"17.09.2013","Tue","0.11150","0.14000","0.18050","0.22050","0.25195","0.37640","0.65160"
"16.09.2013","Mon","0.11300","0.14185","0.17925","0.22150","0.25185","0.37990","0.65610"
"13.09.2013","Fri","0.11190","0.14297","0.18020","0.22246","0.25390","0.38340","0.66360"
"12.09.2013","Thu","0.11280","0.14607","0.18230","0.22346","0.25440","0.38440","0.66360"
"11.09.2013","Wed","0.11400","0.14547","0.18240","0.22396","0.25440","0.38640","0.66510"
"10.09.2013","Tue","0.11520","0.14747","0.18140","0.22446","0.25590","0.38740","0.66560"
"09.09.2013","Mon","0.11570","0.14837","0.18190","0.22446","0.25590","0.38740","0.66560"
"06.09.2013","Fri","0.11650","0.14747","0.18190","0.22446","0.25640","0.39065","0.67510"
"05.09.2013","Thu","0.11650","0.14797","0.18190","0.22446","0.25810","0.39205","0.67510"
"04.09.2013","Wed","0.11580","0.14783","0.18170","0.22446","0.25900","0.39240","0.66810"
"03.09.2013","Tue","0.11530","0.14783","0.18206","0.22522","0.25950","0.39350","0.66910"
"02.09.2013","Mon","0.11630","0.14783","0.18256","0.22522","0.25950","0.39350","0.66810"
"30.08.2013","Fri","0.11630","0.14783","0.18206","0.22522","0.25950","0.39300","0.66710"
