"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"20.10.2023","Fri","","","5.44613","","5.66008","5.89774",""
"19.10.2023","Thu","","","5.45314","","5.67354","5.91777",""
"18.10.2023","Wed","","","5.45359","","5.67743","5.91652",""
"17.10.2023","Tue","","","5.44799","","5.65842","5.88303",""
"16.10.2023","Mon","","","5.44920","","5.65665","5.87739",""
"13.10.2023","Fri","","","5.44981","","5.66444","5.89234",""
"12.10.2023","Thu","","","5.44898","","5.65548","5.86820",""
"11.10.2023","Wed","","","5.44686","","5.65538","5.86290",""
"10.10.2023","Tue","","","5.46325","","5.68738","5.91265",""
"09.10.2023","Mon","","","5.45555","","5.66835","5.88272",""
"06.10.2023","Fri","","","5.45555","","5.66835","5.88272",""
"05.10.2023","Thu","","","5.45046","","5.66781","5.89089",""
"04.10.2023","Wed","","","5.44488","","5.68401","5.92158",""
"03.10.2023","Tue","","","5.44199","","5.67590","5.91399",""
"02.10.2023","Mon","","","5.43856","","5.64976","5.88086",""
"29.09.2023","Fri","","","5.43347","","5.65711","5.89553",""
"28.09.2023","Thu","","","5.42907","","5.65643","5.89919",""
"27.09.2023","Wed","","","5.43056","","5.65169","5.89575",""
"26.09.2023","Tue","","","5.43291","","5.64719","5.89153",""
"25.09.2023","Mon","","","5.43193","","5.65273","5.89752",""
"22.09.2023","Fri","","","5.43199","","5.66142","5.90777",""
"21.09.2023","Thu","","","5.43420","","5.66170","5.90109",""
"20.09.2023","Wed","","","5.43793","","5.65774","5.89731",""
"19.09.2023","Tue","","","5.43857","","5.65863","5.89683",""
"18.09.2023","Mon","","","5.43932","","5.65946","5.89432",""
"15.09.2023","Fri","","","5.44156","","5.66329","5.89410",""
"14.09.2023","Thu","","","5.44505","","5.67170","5.90593",""
"13.09.2023","Wed","","","5.44668","","5.67104","5.90176",""
"12.09.2023","Tue","","","5.44804","","5.66983","5.89947",""
"11.09.2023","Mon","","","5.44281","","5.66686","5.89111",""
"08.09.2023","Fri","","","5.44394","","5.67208","5.90023",""
"07.09.2023","Thu","","","5.44381","","5.67260","5.90427",""
"06.09.2023","Wed","","","5.44132","","5.65934","5.88098",""
"05.09.2023","Tue","","","5.44210","","5.65269","5.86038",""
"04.09.2023","Mon","","","5.44335","","5.66391","5.88150",""
"01.09.2023","Fri","","","5.44335","","5.66391","5.88150",""
