"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"21.06.2017","Wed","1.17722","1.19222","1.21556","1.25056","1.28944","1.44500","1.73539"
"20.06.2017","Tue","1.17611","1.19389","1.21556","1.24944","1.28722","1.43961","1.73594"
"19.06.2017","Mon","1.17667","1.19278","1.21389","1.24611","1.28022","1.43322","1.72844"
"16.06.2017","Fri","1.17722","1.19000","1.21222","1.24389","1.27356","1.43267","1.73233"
"15.06.2017","Thu","1.17500","1.18833","1.20944","1.23833","1.26744","1.42711","1.72956"
"14.06.2017","Wed","0.93111","1.16189","1.17167","1.20111","1.25033","1.42600","1.73622"
"13.06.2017","Tue","0.93111","1.15111","1.15889","1.19167","1.24556","1.42322","1.73567"
"12.06.2017","Mon","0.93111","1.11211","1.13933","1.18167","1.24167","1.42183","1.73567"
"09.06.2017","Fri","0.93111","1.07600","1.12711","1.17278","1.23644","1.41683","1.72844"
"08.06.2017","Thu","0.93056","1.03544","1.11711","1.16278","1.22811","1.41544","1.72844"
"07.06.2017","Wed","0.93111","0.97500","1.09600","1.15167","1.22100","1.41406","1.72400"
"06.06.2017","Tue","0.93056","0.95322","1.08867","1.14500","1.21900","1.41711","1.72289"
"05.06.2017","Mon","0.93111","0.95100","1.08422","1.14167","1.21956","1.41822","1.72567"
"02.06.2017","Fri","0.93111","0.95156","1.08617","1.14306","1.22250","1.42822","1.73067"
"01.06.2017","Thu","0.93111","0.95156","1.07589","1.13472","1.21806","1.42239","1.72650"
"31.05.2017","Wed","0.92889","0.95156","1.06033","1.12583","1.21000","1.41878","1.72372"
"30.05.2017","Tue","0.93111","0.95061","1.05050","1.11444","1.20178","1.41489","1.72150"
"26.05.2017","Fri","0.93000","0.94922","1.04467","1.12083","1.20178","1.41378","1.72122"
"25.05.2017","Thu","0.93000","0.94967","1.04383","1.12028","1.20039","1.41794","1.72289"
"24.05.2017","Wed","0.93056","0.94967","1.03272","1.11056","1.19761","1.41739","1.72567"
"23.05.2017","Tue","0.93056","0.94944","1.02356","1.10139","1.18867","1.41350","1.71956"
"22.05.2017","Mon","0.92889","0.94833","1.02939","1.09889","1.19200","1.41933","1.72650"
"19.05.2017","Fri","0.92889","0.94750","1.01711","1.09611","1.18644","1.41517","1.72289"
"18.05.2017","Thu","0.92778","0.94722","1.00994","1.07639","1.17172","1.39906","1.70456"
