"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"17.03.2022","Thu","0.32600","","0.44857","","0.92786","1.27443","1.77571"
"16.03.2022","Wed","0.08029","","0.46757","","0.94814","1.25671","1.71529"
"15.03.2022","Tue","0.07957","","0.44143","","0.91643","1.23786","1.68514"
"14.03.2022","Mon","0.07914","","0.43057","","0.88471","1.17500","1.65686"
"11.03.2022","Fri","0.07929","","0.39657","","0.82600","1.13057","1.59600"
"10.03.2022","Thu","0.07929","","0.38700","","0.80286","1.10286","1.53486"
"09.03.2022","Wed","0.07843","","0.35171","","0.74500","1.04486","1.48657"
"08.03.2022","Tue","0.07800","","0.32114","","0.70300","1.02371","1.44686"
"07.03.2022","Mon","0.07986","","0.30629","","0.64286","0.97914","1.38229"
"04.03.2022","Fri","0.07814","","0.31014","","0.61014","0.93943","1.35286"
"03.03.2022","Thu","0.07900","","0.28914","","0.58314","0.89000","1.33186"
"02.03.2022","Wed","0.07943","","0.24243","","0.52214","0.79586","1.21829"
"01.03.2022","Tue","0.07700","","0.23457","","0.51086","0.76386","1.17671"
"28.02.2022","Mon","0.07714","","0.24143","","0.50429","0.80471","1.28800"
"25.02.2022","Fri","0.07714","","0.23057","","0.52300","0.82871","1.33071"
"24.02.2022","Thu","0.07743","","0.20857","","0.50786","0.80443","1.28629"
"23.02.2022","Wed","0.07743","","0.18686","","0.49757","0.82629","1.33686"
"22.02.2022","Tue","0.07657","","0.17586","","0.48786","0.78143","1.28857"
"21.02.2022","Mon","","","0.16200","","0.46386","0.75829","1.25771"
"18.02.2022","Fri","0.07557","","0.17071","","0.47957","0.78129","1.28586"
"17.02.2022","Thu","0.07629","","0.16171","","0.48100","0.77357","1.28886"
"16.02.2022","Wed","0.07371","","0.13671","","0.48814","0.78714","1.32986"
"15.02.2022","Tue","0.07414","","0.11971","","0.46871","0.79271","1.34271"
"14.02.2022","Mon","0.07671","","0.12571","","0.45857","0.79386","1.32214"
"11.02.2022","Fri","0.07843","","0.19114","","0.50643","0.84043","1.39229"
"10.02.2022","Thu","0.07757","","0.12371","","0.39486","0.66443","1.12457"
"09.02.2022","Wed","0.07771","","0.12271","","0.37743","0.63457","1.09371"
"08.02.2022","Tue","0.07700","","0.12571","","0.36629","0.63986","1.09171"
"07.02.2022","Mon","0.07714","","0.12471","","0.36243","0.62257","1.09171"
"04.02.2022","Fri","0.07700","","0.11529","","0.33900","0.55543","0.99900"
