交易日期,到期月份(週別),履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價
2017/01/03,201701,7500.0,put,2,0.1,0.1,89282,9266,9282,9231,9281,9280
2017/01/03,201701,7600.0,put,80,0.3,0.2,89282,9266,9282,9231,9281,9280
2017/01/03,201701,7700.0,put,81,0.3,0.2,89282,9266,9282,9231,9281,9280
2017/01/03,201701,7800.0,put,8,0.3,0.3,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8000.0,put,63,0.5,0.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8100.0,call,2,1280,1180.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8100.0,put,52,0.6,0.6,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8200.0,put,91,0.6,0.6,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8300.0,put,604,0.8,0.8,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8400.0,call,4,875,880.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8400.0,put,769,1.2,1.2,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8500.0,call,2,790,780.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8500.0,put,1048,1.5,1.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8600.0,call,25,685,685.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8600.0,put,1294,2.3,2.3,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8700.0,call,8,565,585.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8700.0,put,2850,3.7,3.7,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8800.0,call,92,483,487.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8800.0,put,6002,5.5,5.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8900.0,call,120,386,391.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,8900.0,put,5814,9.3,9.3,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9000.0,call,519,298,298.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9000.0,put,7813,17,17.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9100.0,call,2539,210,210.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9100.0,put,8124,31,31.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9200.0,call,5312,136,136.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9200.0,put,13646,56,56.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9300.0,call,10091,76,76.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9300.0,put,3498,96,96.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9400.0,call,11381,36,36.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9400.0,put,1311,155,155.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9500.0,call,10093,13.5,13.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9500.0,put,291,235,235.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9600.0,call,4296,4.3,4.3,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9600.0,put,275,328,328.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9700.0,call,1230,1.5,1.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9700.0,put,2,426,426.0,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9800.0,call,457,0.8,0.8,89282,9266,9282,9231,9281,9280
2017/01/03,201701,9900.0,call,112,0.5,0.5,89282,9266,9282,9231,9281,9280
2017/01/03,201701,10000.0,call,1,0.2,0.3,89282,9266,9282,9231,9281,9280
2017/01/03,201701,10400.0,call,1,0.2,0.2,89282,9266,9282,9231,9281,9280
2017/01/03,201701,10600.0,call,2,0.2,0.2,89282,9266,9282,9231,9281,9280
2017/01/03,201702,7600.0,call,1,1660,1670.0,1532,9254,9268,9220,9268,9267
2017/01/03,201702,7600.0,put,31,1.5,1.5,1532,9254,9268,9220,9268,9267
2017/01/03,201702,7700.0,put,2,1.9,1.7,1532,9254,9268,9220,9268,9267
2017/01/03,201702,7800.0,put,6,1.4,2.1,1532,9254,9268,9220,9268,9267
2017/01/03,201702,7900.0,put,49,2.1,2.1,1532,9254,9268,9220,9268,9267
2017/01/03,201702,8000.0,put,79,2.4,2.4,1532,9254,9268,9220,9268,9267
2017/01/03,201702,8100.0,put,122,3.2,3.2,1532,9254,9268,9220,9268,9267
2017/01/03,201702,8200.0,put,51,4.6,4.6,1532,9254,9268,9220,9268,9267
2017/01/03,201702,8300.0,put,203,6.2,6.2,1532,9254,9268,9220,9268,9267
