交易日期,到期月份(週別),履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價
2019/01/02,201901,8000.0,call,2,1570,1530,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8000.0,put,850,5.5,5.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8100.0,put,256,6.3,6.3,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8200.0,put,319,7.3,7.3,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8300.0,put,2411,8.4,8.4,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8400.0,put,1406,9.8,9.8,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8500.0,put,1105,12,12,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8600.0,put,1240,14.5,14.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8700.0,put,1839,18,18,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8800.0,call,6,750,750,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8800.0,put,5045,22,22,165922,9760,9762,9506,9536,9529
2019/01/02,201901,8900.0,put,2562,28.5,28.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9000.0,call,32,555,565,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9000.0,put,8316,37,37,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9100.0,call,9,479,479,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9100.0,put,5868,45,45,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9200.0,call,33,383,392,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9200.0,put,9073,60,60,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9300.0,call,296,310,310,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9300.0,put,8060,80,80,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9400.0,call,747,241,241,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9400.0,put,10492,107,107,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9500.0,call,3717,174,174,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9500.0,put,8596,140,140,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9600.0,call,5436,117,117,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9600.0,put,6249,186,186,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9700.0,call,8922,75,75,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9700.0,put,3685,242,242,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9800.0,call,11853,43.5,43.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9800.0,put,1883,309,309,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9900.0,call,13377,23.5,23.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,9900.0,put,510,389,389,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10000.0,call,10952,11.5,11.5,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10000.0,put,178,484,484,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10100.0,call,6481,6.3,6.3,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10100.0,put,88,595,575,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10200.0,call,3599,3.4,3.4,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10200.0,put,1,615,675,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10300.0,call,1883,1.9,1.9,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10300.0,put,4,725,775,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10400.0,call,1356,1.4,1.4,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10400.0,put,2,825,870,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10500.0,call,749,0.9,0.9,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10600.0,call,437,0.7,0.7,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10700.0,call,382,0.4,0.4,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10800.0,call,274,0.4,0.4,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10800.0,put,1,1270,1270,165922,9760,9762,9506,9536,9529
2019/01/02,201901,10900.0,call,1,0.3,0.3,165922,9760,9762,9506,9536,9529
2019/01/02,201901,11100.0,call,1,0.1,0.2,165922,9760,9762,9506,9536,9529
2019/01/02,201901,11200.0,call,20,0.2,0.2,165922,9760,9762,9506,9536,9529
2019/01/02,201901,11300.0,call,120,0.2,0.2,165922,9760,9762,9506,9536,9529
2019/01/02,201902,8000.0,put,333,26,26,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8100.0,put,71,31,31,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8200.0,put,94,34,34,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8300.0,put,90,39.5,39.5,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8400.0,put,45,48,46,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8500.0,put,338,53,53,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8600.0,put,111,63,63,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8700.0,put,178,73,73,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8800.0,put,819,86,86,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8900.0,call,1,715,705,2002,9729,9740,9488,9513,9510
2019/01/02,201902,8900.0,put,411,98,98,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9000.0,call,4,620,620,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9000.0,put,854,115,115,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9100.0,call,3,545,545,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9100.0,put,424,136,136,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9200.0,call,2,468,468,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9200.0,put,445,160,160,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9300.0,call,36,389,399,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9300.0,put,564,189,189,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9400.0,call,65,334,334,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9400.0,put,466,220,220,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9500.0,call,112,271,271,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9500.0,put,345,262,262,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9600.0,call,271,219,219,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9600.0,put,371,307,307,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9700.0,call,175,170,170,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9700.0,put,88,362,362,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9800.0,call,391,131,131,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9800.0,put,52,423,423,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9900.0,call,512,99,99,2002,9729,9740,9488,9513,9510
2019/01/02,201902,9900.0,put,125,499,489,2002,9729,9740,9488,9513,9510
2019/01/02,201902,10000.0,call,598,71,71,2002,9729,9740,9488,9513,9510
2019/01/02,201902,10000.0,put,24,570,560,2002,9729,9740,9488,9513,9510
2019/01/02,201902,10100.0,call,452,51,51,2002,9729,9740,9488,9513,9510
