交易日期,到期天數,model1
2021/08/06,12,650.7425067053944
2021/08/09,9,350.2312706799374
2021/08/10,8,350.51555544192195
2021/08/11,7,411.6452151148768
2021/08/12,6,604.0345255819257
2021/08/13,5,476.2520112345015
2021/08/16,2,244.2379835271061
2021/08/17,1,746.0029902456869
2021/08/19,27,117.0282761677292
2021/08/20,26,344.7610166030889
2021/08/23,23,61.8687680950414
2021/08/24,22,136.11653160526112
2021/08/25,21,252.33365667200772
2021/08/26,20,174.4156577900058
2021/08/27,19,308.0285490105799
2021/08/30,16,414.363642146437
2021/08/31,15,379.24510753038544
2021/09/01,14,510.1752140700413
2021/09/02,13,393.09319932399154
2021/09/03,12,459.3247690967594
2021/09/06,9,498.23386878869195
2021/09/07,8,382.31129842670686
2021/09/08,7,264.7372423100992
2021/09/09,6,294.99766281010966
2021/09/10,5,1149.7467832036418
2021/09/13,2,164.98083419973392
2021/09/14,1,219.65162411840058
2021/09/16,34,597.0175479864058
2021/09/17,33,724.6163197446002
2021/09/22,28,61.703742323358796
2021/09/23,27,269.03713863652837
2021/09/24,26,467.15791003206783
2021/09/27,23,410.9287491737686
2021/09/28,22,217.51915195033095
2021/09/29,21,72.03944495455353
2021/09/30,20,82.5660449933834
2021/10/01,19,202.69062401556337
2021/10/04,16,391.39894946905554
2021/10/05,15,398.93863499659466
2021/10/06,14,346.3251913869803
2021/10/07,13,123.00723253995989
2021/10/08,12,121.49318790198654
2021/10/12,8,433.3225802626957
2021/10/13,7,240.302389139611
2021/10/14,6,109.72002296112213
2021/10/15,5,718.4731524475288
2021/10/18,2,89.5546408772191
2021/10/19,1,59.64834381160337
2021/10/21,27,308.6083622475005
2021/10/22,26,326.9175457006097
2021/10/25,23,266.85243505660634
2021/10/26,22,431.8747285512729
2021/10/27,21,802.2896319917326
2021/10/28,20,868.7626348079128
2021/10/29,19,593.217318828068
2021/11/01,16,623.8420285058991
2021/11/02,15,599.9550261469285
2021/11/03,14,791.886796542593
2021/11/04,13,976.3798051214353
2021/11/05,12,1168.280654409082
2021/11/08,9,1396.0109869600103
2021/11/09,8,1525.8755692577172
2021/11/10,7,1907.9430272473726
2021/11/11,6,2012.0759435287803
2021/11/12,5,2738.3647482953083
2021/11/15,2,967.5572466370888
2021/11/16,1,954.934323798033
2021/11/18,27,2037.3187220193931
2021/11/19,26,1904.1207597544667
2021/11/22,23,1595.4748677944276
2021/11/23,22,1178.1236446921441
2021/11/24,21,1356.4409166901219
2021/11/25,20,1425.618855058514
2021/11/26,19,349.50871832185123
2021/11/29,16,119.07496598617605
2021/11/30,15,218.39365502399957
2021/12/01,14,438.78591537719393
2021/12/02,13,391.6098384636737
2021/12/03,12,555.405025521652
2021/12/06,9,233.23786405419
2021/12/07,8,766.6356015785807
2021/12/08,7,1425.390224000474
2021/12/09,6,2807.1777908578574
2021/12/10,5,2537.4228384937073
2021/12/13,2,1009.7313648626274
2021/12/14,1,251.3354419010417
2021/12/16,34,1673.9481320734933
2021/12/17,33,1524.698083889661
2021/12/20,30,566.584026701938
2021/12/21,29,1253.2195232869378
2021/12/22,28,1389.2558035438076
2021/12/23,27,1789.8212320754792
2021/12/24,26,1976.3717118929692
2021/12/27,23,1580.0801604835299
2021/12/28,22,2182.367854612829
2021/12/29,21,1976.0515299993074
2021/12/30,20,2035.739730801466
2022/01/03,16,1612.3647732570905
2022/01/04,15,1660.205740937072
2022/01/05,14,1828.802038730159
2022/01/06,13,1149.405533972342
2022/01/07,12,788.0749101236024
2022/01/10,9,1006.4988903316279
2022/01/11,8,1049.1971901215636
2022/01/12,7,1365.590778822431
2022/01/13,6,1351.005552241303
2022/01/14,5,2107.4381191142274
2022/01/17,2,785.3706067496195
2022/01/18,1,296.40144137607814
2022/01/20,27,667.9600130008342
2022/01/21,26,236.88337919200384
2022/01/24,23,295.0182541276421
2022/01/25,22,88.60797772261702
2022/01/26,21,105.43929909384796
2022/02/07,9,354.12886399731207
2022/02/08,8,1015.0211510189093
2022/02/09,7,2568.5048583654407
2022/02/10,6,3536.0055458012503
2022/02/11,5,1776.5367070079612
2022/02/14,2,124.18079570059795
2022/02/15,1,68.60846878933444
2022/02/17,27,456.17183909286655
2022/02/18,26,442.0842307645144
2022/02/21,23,319.3849188482848
2022/02/22,22,70.95115833289758
2022/02/23,21,381.04027565833155
2022/02/24,20,238.08736666746182
2022/02/25,19,82.84176206619563
2022/03/01,15,151.29217959338933
2022/03/02,14,115.19891870178112
2022/03/03,13,200.68130089776264
2022/03/04,12,154.39077275185826
2022/03/07,9,2093.183045192888
2022/03/08,8,2399.4312572098524
2022/03/09,7,414.3608660398232
2022/03/10,6,114.24086985956733
2022/03/11,5,149.987883399083
2022/03/14,2,541.754957318059
2022/03/15,1,1065.9908688028088
2022/03/17,34,85.39442385848032
2022/03/18,33,101.78873299401408
2022/03/21,30,219.41827919672886
2022/03/22,29,406.86420093120165
2022/03/23,28,1060.3076079784926
2022/03/24,27,880.3673570969656
2022/03/25,26,902.7564436211527
2022/03/28,23,505.8038036200751
2022/03/29,22,1014.2832625854949
2022/03/30,21,1382.48692205899
2022/03/31,20,1015.244823997912
2022/04/01,19,777.3444285042729
2022/04/06,14,767.1981944133989
2022/04/07,13,165.89345601113638
2022/04/08,12,500.0111706596816
2022/04/11,9,99.58243035636612
2022/04/12,8,76.27478607843798
2022/04/13,7,706.7568082785784
2022/04/14,6,653.0713576479582
2022/04/15,5,567.5972444719544
2022/04/18,2,182.82059565588492
2022/04/19,1,42.04433243996164
2022/04/21,27,840.2302991493793
2022/04/22,26,672.2163160809524
2022/04/25,23,86.75436034263969
2022/04/26,22,205.03718700134522
2022/04/27,21,80.95769471455131
2022/04/28,20,90.98203979488005
2022/04/29,19,177.5821867023327
2022/05/03,15,95.04072605385029
2022/05/04,14,77.17978264002934
2022/05/05,13,593.2504838991913
2022/05/06,12,82.5971576268842
