model,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value
CNN-LSTM(7),2.4067,0.0232,1.9454,0.0622,-1.8035,0.0735,-4.2151,<0.0001,-6.3122,<0.0001
CNN-LSTM(29),-2.4854,0.0194,-1.6750,0.1055,0.7317,0.4656,-2.7412,0.0068,-2.5523,0.0115
