model,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value,T Stat.,P-value
CNN-LSTM(15),-3.0946,0.0046,-3.9709,0.0005,1.2695,0.2064,2.7888,0.0059,5.6628,<.0001
CNN-LSTM(29),-3.3998,0.0021,-2.6674,0.0128,2.0282,0.0445,2.2089,0.0285,3.7517,0.0002
