日期,活期,一個月,三個月,六個月,九個月,一年,二年,三年
2012/01,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/02,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/03,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/04,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/05,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/06,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/07,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/08,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/09,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/10,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/11,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2012/12,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/01,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/02,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/03,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/04,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/05,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/06,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/07,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/08,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/09,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/10,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/11,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2013/12,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/01,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/02,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/03,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/04,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/05,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/06,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/07,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/08,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/09,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/10,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/11,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2014/12,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/01,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/02,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/03,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/04,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/05,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/06,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/07,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
2015/08,0.0017000000000000001,0.0088,0.009399999999999999,0.011049999999999999,0.01218,0.01345,0.0137,0.013850000000000003
