交易日期,到期日期,履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價,到期天數,無風險利率,隱含波動率(結算價),隱含波動率(收盤價)
2012/01/03,2012/06/20,7800.0,call,260,164.0,164.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.22832422980054803,0.22832422980054803
2012/01/03,2012/06/20,8800.0,call,104,26.0,26.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.21031518005824007,0.21031518005824007
2012/01/03,2012/06/20,9000.0,call,84,18.5,18.5,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.21143664441173138,0.21143664441173138
2012/01/03,2012/06/20,9200.0,call,104,13.5,13.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.2122819468167322,0.2136502097624513
2012/01/04,2012/06/20,5200.0,put,52,61.0,61.0,39,7041,7052,7000,7024,7023,168,0.0093999999999999,0.3377977325817807,0.337909598393499
2012/01/04,2012/06/20,6000.0,put,47,161.0,163.0,39,7041,7052,7000,7024,7023,168,0.0093999999999999,0.2983298206319005,0.29691884497316523
2012/01/04,2012/06/20,6200.0,put,78,200.0,203.0,39,7041,7052,7000,7024,7023,168,0.0093999999999999,0.28802907768374697,0.286107442166696
2012/01/04,2012/06/20,8000.0,call,30,115.0,121.0,39,7041,7052,7000,7024,7023,168,0.0093999999999999,0.22261124955405323,0.21810564059394458
2012/01/05,2012/06/20,5400.0,put,208,75.0,73.0,63,7052,7075,7019,7075,7075,167,0.0093999999999999,0.3272932062516827,0.329830070365864
2012/01/05,2012/06/20,6000.0,put,46,148.0,148.0,63,7052,7075,7019,7075,7075,167,0.0093999999999999,0.2948527043926055,0.2948527043926055
2012/01/05,2012/06/20,8000.0,call,33,123.0,123.0,63,7052,7075,7019,7075,7075,167,0.0093999999999999,0.21661704410668225,0.21661704410668225
2012/01/09,2012/06/20,5200.0,put,115,61.0,61.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.3420183712022326,0.3420183712022326
2012/01/09,2012/06/20,5400.0,put,48,81.0,81.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.3341501504750958,0.3341501504750958
2012/01/09,2012/06/20,5800.0,put,30,125.0,129.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.3114379456377698,0.3078146859509905
2012/01/09,2012/06/20,6200.0,put,46,195.0,200.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.28899030895345407,0.2854614990509664
2012/01/09,2012/06/20,7600.0,call,63,214.0,222.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.2350071229526762,0.23028005884004935
2012/01/09,2012/06/20,7800.0,call,72,158.0,158.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.22595670804116771,0.22595670804116771
2012/01/09,2012/06/20,8000.0,call,79,113.0,113.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.22132008093937222,0.22132008093937222
2012/01/09,2012/06/20,8200.0,call,58,79.0,85.0,33,7018,7024,6988,7015,7015,163,0.0093999999999999,0.22260342598381866,0.2173530238140085
2012/01/10,2012/06/20,5200.0,put,74,53.0,53.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.34241534960553127,0.34241534960553127
2012/01/10,2012/06/20,5400.0,put,46,68.0,68.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.33095126980493644,0.33095126980493644
2012/01/10,2012/06/20,5600.0,put,56,85.0,85.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.31777150495594453,0.31777150495594453
2012/01/10,2012/06/20,5800.0,put,30,104.0,110.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.3087946002404649,0.3029108240809874
2012/01/10,2012/06/20,6000.0,put,64,134.0,134.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.29407715827527753,0.29407715827527753
2012/01/10,2012/06/20,6200.0,put,60,173.0,176.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.2890897506287323,0.2868669037840783
2012/01/10,2012/06/20,7600.0,call,103,245.0,245.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.22803989526392082,0.22803989526392082
2012/01/10,2012/06/20,7800.0,call,81,182.0,185.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.2251424388143574,0.22330461015232358
2012/01/10,2012/06/20,8000.0,call,94,134.0,134.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.22044523524473353,0.22044523524473353
2012/01/10,2012/06/20,8600.0,call,55,44.0,47.5,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.21353193247348837,0.20937059351763365
2012/01/10,2012/06/20,8800.0,call,55,32.0,32.0,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.21114958016488974,0.21114958016488974
2012/01/10,2012/06/20,9200.0,call,148,14.5,14.5,85,7081,7128,7081,7120,7120,162,0.0093999999999999,0.20919357607404068,0.20919357607404068
2012/01/11,2012/06/20,5200.0,put,233,50.0,48.5,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.3372237730044076,0.33974367449061604
2012/01/11,2012/06/20,6200.0,put,46,166.0,174.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.2901779750476056,0.2841833778581437
2012/01/11,2012/06/20,6600.0,put,35,259.0,267.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.26896524918100106,0.2640835717592162
2012/01/11,2012/06/20,7000.0,call,33,530.0,545.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.2561388790675313,0.24801474714538302
2012/01/11,2012/06/20,7800.0,call,48,186.0,186.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.22445138592611744,0.22445138592611744
2012/01/11,2012/06/20,8000.0,call,49,135.0,134.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.21934452146602135,0.2200308539945936
2012/01/11,2012/06/20,8200.0,call,90,95.0,98.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.2179750968410749,0.21558847614555074
2012/01/11,2012/06/20,8800.0,call,58,32.0,35.0,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.21492461161363396,0.2105688996794807
2012/01/11,2012/06/20,9000.0,call,80,20.5,20.5,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.20727912181818633,0.20727912181818633
2012/01/11,2012/06/20,9200.0,call,81,14.0,14.5,60,7145,7145,7124,7131,7131,161,0.0093999999999999,0.20877012824794725,0.20748865841994457
2012/01/13,2012/06/20,5200.0,put,62,54.0,54.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.3462508607068277,0.34636153626418376
2012/01/13,2012/06/20,5400.0,put,67,70.0,65.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.3288922086221681,0.3358135973661938
2012/01/13,2012/06/20,6200.0,put,50,162.0,185.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.2970714195987856,0.2800245775605696
2012/01/13,2012/06/20,6400.0,put,159,205.0,238.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.29239235927487217,0.27054992812867806
2012/01/13,2012/06/20,6600.0,put,77,255.0,297.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.28518934666820905,0.2597863294417319
2012/01/13,2012/06/20,6800.0,put,75,322.0,371.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.2806074699082721,0.2529501694604592
2012/01/13,2012/06/20,8400.0,call,72,56.0,64.0,162,7167,7210,7098,7112,7111,159,0.0093999999999999,0.21449345256963664,0.20623947871763623
