中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   AUG- 2021 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31AUG21,0.17078 ,0.24100 ,0.38767 ,0.44044 ,0.48000 ,0.56878 ,0.70089 ,0.84011 
30AUG21,0.17078 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
27AUG21,0.17078 ,0.24100 ,0.38767 ,0.44044 ,0.48000 ,0.56878 ,0.70089 ,0.84011 
26AUG21,0.17078 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
25AUG21,0.17078 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
24AUG21,0.17078 ,0.24089 ,0.38756 ,0.44033 ,0.47989 ,0.56856 ,0.70078 ,0.84000 
23AUG21,0.17067 ,0.24078 ,0.38744 ,0.44011 ,0.47967 ,0.56844 ,0.70056 ,0.83978 
20AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
19AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
18AUG21,0.17067 ,0.24089 ,0.38744 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
17AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
16AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
13AUG21,0.17067 ,0.24089 ,0.38744 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
12AUG21,0.17067 ,0.24089 ,0.38744 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
11AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
10AUG21,0.17067 ,0.24089 ,0.38744 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
09AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
06AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
05AUG21,0.17067 ,0.24089 ,0.38744 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
04AUG21,0.17067 ,0.24078 ,0.38744 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
03AUG21,0.17078 ,0.24089 ,0.38733 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
02AUG21,0.17078 ,0.24089 ,0.38733 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
======================================================================,,,,,,,,
