交易日期,到期天數,model1
2021/08/06,12,0.00021022514525206081
2021/08/09,9,0.0002841707370993555
2021/08/10,8,0.00015327321672862075
2021/08/11,7,0.0004769341542191676
2021/08/12,6,0.0005247570078243531
2021/08/13,5,0.001752770483909979
2021/08/16,2,0.016719765444192604
2021/08/17,1,0.031485214699795976
2021/08/19,27,0.00011128405586749553
2021/08/20,26,0.0007173973052246636
2021/08/23,23,0.0015800543972163603
2021/08/24,22,4.728056696275102e-05
2021/08/25,21,0.0001943597190975619
2021/08/26,20,0.0002997384972261582
2021/08/27,19,7.771413789900247e-05
2021/08/30,16,0.0002772234801685611
2021/08/31,15,0.0007276740301146832
2021/09/01,14,0.0004087270957673105
2021/09/02,13,0.0003247909691921205
2021/09/03,12,0.0007607024955393406
2021/09/06,9,0.0011065387955036905
2021/09/07,8,0.0004459885195524068
2021/09/08,7,0.001410241604799357
2021/09/09,6,0.004130526058199011
2021/09/10,5,0.0015164841574324245
2021/09/13,2,0.006975663723243208
2021/09/14,1,0.015568626188887541
2021/09/16,34,0.0006128704480041723
2021/09/17,33,8.453766528370803e-05
2021/09/22,28,0.0005691917247724979
2021/09/23,27,0.0005083015737453173
2021/09/24,26,0.00010010810392894662
2021/09/27,23,6.501960205660335e-05
2021/09/28,22,0.00042162781912068707
2021/09/29,21,0.00013563054860278112
2021/09/30,20,0.0001385968467896905
2021/10/01,19,0.0025375691831944812
2021/10/04,16,0.0006065530083818365
2021/10/05,15,0.0002936898405096008
2021/10/06,14,0.00016082861940074842
2021/10/07,13,0.00022475929982435365
2021/10/08,12,0.0002875609220576975
2021/10/12,8,0.0017342469411695328
2021/10/13,7,0.00037654720263689617
2021/10/14,6,0.001384906818681082
2021/10/15,5,0.0004785052592162745
2021/10/18,2,0.009900629209207338
2021/10/19,1,0.01105696441818974
2021/10/21,27,0.0014631715659350752
2021/10/22,26,0.00037981575295448114
2021/10/25,23,0.0002858898905836233
2021/10/26,22,0.00019045841600545102
2021/10/27,21,0.00015799252344140765
2021/10/28,20,0.00014128525249702443
2021/10/29,19,0.0005221210473737474
2021/11/01,16,6.588885402242784e-05
2021/11/02,15,0.00028350142677375297
2021/11/03,14,8.045855877216251e-05
2021/11/04,13,0.0001334580191209265
2021/11/05,12,0.0002101529803426358
2021/11/08,9,0.0015085287115505826
2021/11/09,8,0.00019429726638329562
2021/11/10,7,0.0006007026487044622
2021/11/11,6,0.0007906899700192279
2021/11/12,5,0.00035538970897227223
2021/11/15,2,0.0029176317987294944
2021/11/16,1,0.020554488561291773
2021/11/18,27,0.0007741869063761338
2021/11/19,26,8.290118922563329e-05
2021/11/22,23,0.00020359570254730323
2021/11/23,22,0.00027048186370176797
2021/11/24,21,6.750320835759025e-05
2021/11/25,20,0.00020161044487207726
2021/11/26,19,0.0013326620826179304
2021/11/29,16,0.000737388764465318
2021/11/30,15,0.00013428558894326362
2021/12/01,14,0.00045179411624906614
2021/12/02,13,0.000451748359000508
2021/12/03,12,0.00022120363489631556
2021/12/06,9,0.0002759594589977449
2021/12/07,8,0.00020352168138761627
2021/12/08,7,0.0010170452529171148
2021/12/09,6,0.00011839312335383689
2021/12/10,5,0.0005607511392261055
2021/12/13,2,0.008374977534362164
2021/12/14,1,0.01531285009056613
2021/12/16,34,0.0002993375386180836
2021/12/17,33,0.00011516579830498107
2021/12/20,30,0.0004137638408896371
2021/12/21,29,0.0001440613944751771
2021/12/22,28,0.00019217501383936376
2021/12/23,27,9.771205022327556e-05
2021/12/24,26,0.000258777761541074
2021/12/27,23,0.0001229574836845987
2021/12/28,22,0.00017879295370053076
2021/12/29,21,0.000258624510523454
2021/12/30,20,0.0001686594538381116
2022/01/03,16,2.7249939193326703e-05
2022/01/04,15,0.002003434953645057
2022/01/05,14,0.0005592174848811438
2022/01/06,13,0.0019249319315789947
2022/01/07,12,0.0005570747881327105
2022/01/10,9,0.0005056691791723549
2022/01/11,8,0.0008791900849823334
2022/01/12,7,0.0023329487323757903
2022/01/13,6,0.0008555545960496711
2022/01/14,5,0.004400243855705326
2022/01/17,2,0.00749098650773683
2022/01/18,1,0.0030828238275395258
2022/01/20,27,0.00037914078075563455
2022/01/21,26,0.00019249389297109313
2022/01/24,23,0.0002592058337678065
2022/01/25,22,0.0014599045543413664
2022/01/26,21,0.0009455083669991212
2022/02/07,9,0.00046795397222963985
2022/02/08,8,0.00044131570084986465
2022/02/09,7,0.0019322019523586988
2022/02/10,6,0.0008838709229696041
2022/02/11,5,0.002133198800670107
2022/02/14,2,0.004976702550661766
2022/02/15,1,0.017012055696462476
2022/02/17,27,0.0002772937988728293
2022/02/18,26,0.0003828482030072151
2022/02/21,23,0.0001124220114305572
2022/02/22,22,0.0002902595126690093
2022/02/23,21,0.00038325571253026427
2022/02/24,20,0.005179061564027036
2022/02/25,19,0.0016554635595906074
2022/03/01,15,0.00033001467790266147
2022/03/02,14,0.00016510357597149345
2022/03/03,13,0.0002326003320196756
2022/03/04,12,0.0024350153082021843
2022/03/07,9,0.0019265038134556158
2022/03/08,8,0.006290875477978572
2022/03/09,7,0.0014383626997883127
2022/03/10,6,0.0003681786686906336
2022/03/11,5,0.000406036681361396
2022/03/14,2,0.000793265641345919
2022/03/15,1,0.013378875572597483
2022/03/17,34,0.0014398475967080698
2022/03/18,33,0.0006153219142449661
2022/03/21,30,0.00018226627234355056
2022/03/22,29,0.00015498448048057353
2022/03/23,28,0.00017350226015619159
2022/03/24,27,0.00022504765807413447
2022/03/25,26,0.0001254780163527304
2022/03/28,23,0.0003516323656841513
2022/03/29,22,0.00019691867439617383
2022/03/30,21,0.00017760370799652425
2022/03/31,20,0.00010112067607665615
2022/04/01,19,0.00015235637058905757
2022/04/06,14,0.0008224467190818932
2022/04/07,13,0.0006114478443785331
2022/04/08,12,0.00013766789407975086
2022/04/11,9,0.0006187205525291244
2022/04/12,8,0.0002922163382343993
2022/04/13,7,0.00042537300835227595
2022/04/14,6,0.001072699182722409
2022/04/15,5,0.0045941168946421794
2022/04/18,2,0.00756796396645768
2022/04/19,1,0.008351247760564236
2022/04/21,27,0.00018180117005514902
2022/04/22,26,0.00012414060213482067
2022/04/25,23,0.0003652214853254585
2022/04/26,22,0.00021495593297073365
2022/04/27,21,0.0003918236301258708
2022/04/28,20,0.0007089972441651474
2022/04/29,19,0.0005553976585477012
2022/05/03,15,0.00017360760042251113
2022/05/04,14,0.0005848874534894913
2022/05/05,13,0.0005376640406482137
2022/05/06,12,0.0007779431431573817
2022/05/09,9,0.00025063001909785037
2022/05/10,8,0.0021216026648781913
2022/05/11,7,0.0011210232442094368
2022/05/12,6,0.0038612767340956197
2022/05/13,5,0.0025296859871425724
2022/05/16,2,0.0028937910546011324
2022/05/17,1,0.03412027357305133
2022/05/19,27,0.0005782081376831375
2022/05/20,26,6.737725514249928e-05
2022/05/23,23,0.00017350549528368024
2022/05/24,22,0.0002067896512299388
2022/05/25,21,0.00012539984913196737
2022/05/26,20,0.0002485651976154516
2022/05/27,19,0.00021216705824060313
2022/05/30,16,0.0005113352993515948
2022/05/31,15,0.00022019791327345146
2022/06/01,14,0.0005211777703889388
2022/06/02,13,0.0006246470183102436
2022/06/06,9,0.00040400407308688514
2022/06/07,8,0.00024758680474917463
2022/06/08,7,0.0007132330071560161
2022/06/09,6,0.0006975345624001746
2022/06/10,5,0.0022251921132892508
2022/06/13,2,0.0453915454757044
2022/06/14,1,0.003333017536033139
2022/06/16,34,0.0019348282099336885
2022/06/17,33,0.0006677010933135587
2022/06/20,30,0.00019009211664403896
2022/06/21,29,0.00011459881639700606
2022/06/22,28,0.0005984987884862636
2022/06/23,27,0.00028433867560563386
2022/06/24,26,5.5640388662430537e-05
2022/06/27,23,0.00016401949784241693
2022/06/28,22,0.000654691032519888
2022/06/29,21,0.00020479541729070063
2022/06/30,20,0.00016014101924472402
2022/07/01,19,0.0003904948597855534
2022/07/04,16,0.0007917466392300069
2022/07/05,15,0.0014292087372550148
2022/07/06,14,0.001766080908650743
2022/07/07,13,0.0010393640551191827
2022/07/08,12,0.0003833431480659176
2022/07/11,9,0.00048204577207399074
2022/07/12,8,0.0023659489673358482
2022/07/13,7,0.0011545871716670928
2022/07/14,6,0.0005826098003351948
2022/07/15,5,0.0009234944575302544
2022/07/18,2,0.0015675575781429604
2022/07/19,1,0.0073379420091461795
2022/07/21,27,0.0015667806937237525
2022/07/22,26,0.0001236843815060707
2022/07/25,23,0.0001229338269027491
2022/07/26,22,0.00019116639287808067
2022/07/27,21,0.0003311138200990963
2022/07/28,20,0.00041083657561868106
2022/07/29,19,0.00022271831393228612
2022/08/01,16,0.0013046636070899328
2022/08/02,15,0.0051429564092061964
2022/08/03,14,0.0006287600242252352
2022/08/04,13,0.0005459556612154623
2022/08/05,12,0.0012026612409922616
2022/08/08,9,0.0009295610935722671
2022/08/09,8,9.740915111469425e-05
2022/08/10,7,0.0012505555911777914
2022/08/11,6,0.000658678050801287
2022/08/12,5,0.0007828328545298515
2022/08/15,2,0.008524689164674654
2022/08/16,1,0.04225282588147446
2022/08/18,34,0.0006437666867776435
2022/08/19,33,9.960248962058192e-05
2022/08/22,30,0.00047025797373474016
2022/08/23,29,9.30846648394855e-05
2022/08/24,28,0.00011280647826443713
2022/08/25,27,0.00025523174430480054
2022/08/26,26,0.0001488747336460568
2022/08/29,23,0.0004257612110029608
2022/08/30,22,0.0004853238086342998
2022/08/31,21,0.00016222699964812354
2022/09/01,20,0.0004070871184255601
2022/09/02,19,0.00014642523992099263
2022/09/05,16,0.0004358139133459533
2022/09/06,15,0.00012173378953343262
2022/09/07,14,0.00030616003178889246
2022/09/08,13,0.0005567342943239497
2022/09/12,9,0.0002590893333219928
2022/09/13,8,0.00021276294417714063
2022/09/14,7,0.004666079958068003
2022/09/15,6,0.0018625499892100325
2022/09/16,5,0.0004962488089337686
2022/09/19,2,0.00489862238939005
2022/09/20,1,0.01945200301613333
2022/09/22,27,0.0011829567125454204
2022/09/23,26,0.0006687170402452135
2022/09/26,23,0.0008028548027730107
2022/09/27,22,0.0002504946313459129
2022/09/28,21,0.0008958086919533228
2022/09/29,20,0.00029432052546060806
2022/09/30,19,0.000810463716469169
