交易日期,到期天數,上市天數(交易日),model1
2021/08/09,9,14,0.00037799243567012916
2021/08/10,8,15,0.00041277780768699137
2021/08/11,7,16,0.000239293551005578
2021/08/12,6,17,0.000681682905628005
2021/08/13,5,18,0.004552218940145707
2021/08/16,2,19,0.024539562312493497
2021/08/17,1,20,0.0397969229568053
2021/08/19,27,2,0.00016932979602047674
2021/08/20,26,3,0.0015899815954253456
2021/08/23,23,4,0.0017106107613204069
2021/08/24,22,5,0.00012163658497143067
2021/08/25,21,6,0.00016368585338995853
2021/08/26,20,7,0.0005722204262795564
2021/08/27,19,8,0.00013480350669184998
2021/08/30,16,9,0.00030233871323611343
2021/08/31,15,10,0.0004412368827064576
2021/09/01,14,11,0.00030494011901582954
2021/09/02,13,12,0.00036806635857165475
2021/09/03,12,13,0.000388759357990899
2021/09/06,9,14,0.0013466734432181758
2021/09/07,8,15,0.0005825114101890398
2021/09/08,7,16,0.0025852047433998163
2021/09/09,6,17,0.0042467431715632435
2021/09/10,5,18,0.002781875825761394
2021/09/13,2,19,0.010032252438334301
2021/09/14,1,20,0.028544296663291134
2021/09/16,34,2,0.00037117214764915995
2021/09/17,33,3,0.00015346357176846545
2021/09/22,28,4,0.0008139292775150454
2021/09/23,27,5,0.0004498316469275313
2021/09/24,26,6,0.00011843239649898789
2021/09/27,23,7,5.847454318376106e-05
2021/09/28,22,8,0.0005759136070191244
2021/09/29,21,9,0.00025406030713788475
2021/09/30,20,10,0.00018478275673075882
2021/10/01,19,11,0.0027924935431843842
2021/10/04,16,12,0.0004013999987414367
2021/10/05,15,13,0.0005531933493844719
2021/10/06,14,14,0.00017244951091207036
2021/10/07,13,15,0.0003627078618280595
2021/10/08,12,16,0.0003160277303651175
2021/10/12,8,17,0.0019031533644602988
2021/10/13,7,18,0.0008829866082814229
2021/10/14,6,19,0.0034513144279346205
2021/10/15,5,20,0.0002882614904111861
2021/10/18,2,21,0.012246412652496187
2021/10/19,1,22,0.021201695267030432
2021/10/21,27,2,0.0007569765524202811
2021/10/22,26,3,0.00020539322625485042
2021/10/25,23,4,0.00016454663000319323
2021/10/26,22,5,0.00017116059610782657
2021/10/27,21,6,0.00016319727866573905
2021/10/28,20,7,0.00023005649156505702
2021/10/29,19,8,0.00039071955303410217
2021/11/01,16,9,7.508415326098175e-05
2021/11/02,15,10,0.0005460874468852351
2021/11/03,14,11,0.0001212852755813634
2021/11/04,13,12,0.0001830196222196589
2021/11/05,12,13,5.551507883569697e-05
2021/11/08,9,14,0.0013375146326228212
2021/11/09,8,15,0.0005447979239517887
2021/11/10,7,16,0.0013171640061762292
2021/11/11,6,17,0.0008474224760023836
2021/11/12,5,18,0.0008999269144747573
2021/11/15,2,19,0.005981099130100428
2021/11/16,1,20,0.02913971465490701
2021/11/18,27,2,0.00048328376705011395
2021/11/19,26,3,0.00012216369872226413
2021/11/22,23,4,0.00016275161340311445
2021/11/23,22,5,0.00016589726217932046
2021/11/24,21,6,5.090889327806367e-05
2021/11/25,20,7,0.00016623777034604456
2021/11/26,19,8,0.001713545349963599
2021/11/29,16,9,0.000914637702031794
2021/11/30,15,10,0.00016662151589127636
2021/12/01,14,11,0.0004669338684118364
2021/12/02,13,12,0.0004416316895489868
2021/12/03,12,13,0.0003548287236646071
2021/12/06,9,14,0.00040385549720915937
2021/12/07,8,15,0.0003010111247689734
2021/12/08,7,16,0.0011836620755164297
2021/12/09,6,17,0.0002796626834716269
2021/12/10,5,18,0.0011073731913912369
2021/12/13,2,19,0.013866885650020557
